dataset,method,depth,n_trials,tune_val,test_acc,test_std,val_acc,num_seeds,params
pokec,HyperGCN,32,32,51.70,51.10,0.83,51.70,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.1, 'MLP_hidden': 128}"
pokec,HyperGCN,4,30,60.13,58.47,0.61,60.13,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.4, 'MLP_hidden': 512}"
pokec,HyperGCN,64,3,50.98,50.74,0.58,50.98,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 64}"
pokec,HyperGCN,8,30,59.72,58.11,0.78,59.72,10,"{'lr': 0.001, 'wd': 0.001, 'dropout': 0.2, 'MLP_hidden': 512}"
pokec,UniGCNII,16,28,60.34,59.03,0.64,60.34,10,"{'lr': 0.001, 'wd': 1e-05, 'dropout': 0.0, 'MLP_hidden': 256, 'restart_alpha': 0.45, 'lamda': 2.0, 'input_drop': 0.2, 'activation': 'prelu', 'use_norm': False}"
pokec,UniGCNII,2,30,60.45,58.66,0.92,60.45,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.30000000000000004, 'MLP_hidden': 128, 'restart_alpha': 0.5, 'lamda': 2.0, 'input_drop': 0.2, 'activation': 'prelu', 'use_norm': True}"
pokec,UniGCNII,32,21,60.56,58.87,1.03,60.56,10,"{'lr': 0.01, 'wd': 0.001, 'dropout': 0.2, 'MLP_hidden': 256, 'restart_alpha': 0.5, 'lamda': 1.5, 'input_drop': 0.0, 'activation': 'relu', 'use_norm': False}"
pokec,UniGCNII,4,30,60.45,58.58,0.83,60.45,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.2, 'MLP_hidden': 128, 'restart_alpha': 0.45, 'lamda': 2.0, 'input_drop': 0.0, 'activation': 'prelu', 'use_norm': True}"
pokec,UniGCNII,64,3,60.05,58.72,0.83,60.05,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.4, 'MLP_hidden': 128, 'restart_alpha': 0.45, 'lamda': 1.0, 'input_drop': 0.0, 'activation': 'prelu', 'use_norm': True}"
pokec,UniGCNII,8,30,60.47,58.83,0.69,60.47,10,"{'lr': 0.01, 'wd': 0.0001, 'dropout': 0.1, 'MLP_hidden': 256, 'restart_alpha': 0.5, 'lamda': 2.0, 'input_drop': 0.2, 'activation': 'prelu', 'use_norm': True}"
pokec,UniGCN,16,30,50.77,50.62,0.69,50.82,10,"{'MLP_hidden': 512, 'dropout': 0.30000000000000004, 'use_norm': True}"
pokec,UniGCN,2,30,60.02,58.50,0.61,59.74,10,"{'MLP_hidden': 64, 'dropout': 0.0, 'use_norm': False}"
pokec,UniGCN,32,30,50.77,50.62,0.69,50.82,10,"{'MLP_hidden': 256, 'dropout': 0.7, 'use_norm': True}"
pokec,UniGCN,4,30,57.35,54.52,2.22,55.64,10,"{'MLP_hidden': 64, 'dropout': 0.1, 'use_norm': False}"
pokec,UniGCN,64,30,50.77,50.25,0.89,50.49,10,"{'MLP_hidden': 64, 'dropout': 0.6000000000000001, 'use_norm': False}"
pokec,UniGCN,8,30,50.84,50.74,0.58,50.85,10,"{'MLP_hidden': 256, 'dropout': 0.5, 'use_norm': True}"
NTU2012,AllSetformerII,16,30,88.67,88.03,1.14,89.22,10,"{'lr': 0.001, 'wd': 1e-05, 'dropout': 0.2, 'MLP_hidden': 256, 'restart_alpha': 0.5, 'lamda': 1.5, 'heads': 4, 'MLP_num_layers': 2, 'decoder_num_layers': 2, 'normalization': 'bn'}"
NTU2012,AllSetformerII,2,30,88.14,85.65,2.21,88.09,10,"{'lr': 0.001, 'wd': 1e-05, 'dropout': 0.1, 'MLP_hidden': 256, 'restart_alpha': 0.4, 'lamda': 1.0, 'heads': 1, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'ln'}"
NTU2012,AllSetformerII,32,32,87.41,86.30,2.24,87.89,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.1, 'MLP_hidden': 64, 'restart_alpha': 0.5, 'lamda': 1.5, 'heads': 8, 'MLP_num_layers': 1, 'decoder_num_layers': 2, 'normalization': 'ln'}"
NTU2012,AllSetformerII,4,30,87.81,87.71,1.78,88.37,10,"{'lr': 0.01, 'wd': 0.0, 'dropout': 0.5, 'MLP_hidden': 128, 'restart_alpha': 0.5, 'lamda': 0.5, 'heads': 1, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'bn'}"
NTU2012,AllSetformerII,64,32,88.54,88.13,1.47,89.46,10,"{'lr': 0.01, 'wd': 0.001, 'dropout': 0.6000000000000001, 'MLP_hidden': 256, 'restart_alpha': 0.45, 'lamda': 2.0, 'heads': 1, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'bn'}"
NTU2012,AllSetformerII,8,30,89.20,88.03,1.02,89.42,10,"{'lr': 0.001, 'wd': 1e-05, 'dropout': 0.2, 'MLP_hidden': 512, 'restart_alpha': 0.5, 'lamda': 1.0, 'heads': 4, 'MLP_num_layers': 2, 'decoder_num_layers': 2, 'normalization': 'bn'}"
NTU2012,AllSetformer,16,30,5.63,4.21,1.00,5.63,10,"{'lr': 0.1, 'wd': 0.001, 'dropout': 0.0, 'MLP_hidden': 128, 'heads': 4, 'MLP_num_layers': 1, 'decoder_num_layers': 2, 'normalization': 'ln'}"
NTU2012,AllSetformer,2,30,87.61,85.77,1.95,87.81,10,"{'lr': 0.005, 'wd': 0.0001, 'dropout': 0.0, 'MLP_hidden': 128, 'heads': 1, 'MLP_num_layers': 2, 'decoder_num_layers': 1, 'normalization': 'bn'}"
NTU2012,AllSetformer,32,32,5.63,4.49,0.74,5.43,10,"{'lr': 0.1, 'wd': 0.0001, 'dropout': 0.30000000000000004, 'MLP_hidden': 256, 'heads': 4, 'MLP_num_layers': 2, 'decoder_num_layers': 2, 'normalization': 'bn'}"
